section,subform,field_name,field_kind,caption,nearest_form_text,center_specific
PSMSigS5,LaRC5,LaRC5Txt5,textEdit,to be included in contract/PR.,"Work is for a research and development acquisition that requires control of such things as (1) design, work operations, in-process controls, testing and inspection; or (2) attention to such factors as",LaRC
PSMSigS5,LaRC6,LaRC6c1,checkButton,This procurement is for critical and/or complex procurements.,"Using the classifications established in Part II, select the Procurement Quality Classification for the procurement (only select one). The listed quality assurance requirements are required for the pr",LaRC
PSMSigS5,LaRC6,LaRC6c2,checkButton,This procurement is for a Noncritical or Noncomplex Acquisition item that is not considered a COTS item.,"○ Plans for verification of purchased product are in place.○ Government contract quality assurance functions in 2.6 of NPR 8735.2, as applicable.",LaRC
PSMSigS5,LaRC6,LaRC6c3,checkButton,This procurement is for a Commercial Item procured under FAR Part 12.,"○ Quality requirements as applicable (e.g., certification, material testing data, testing, inspection, dimensional verification), including requesting records of any required tests and inspections hav",LaRC
PSMSigS5,LaRC6,LaRC6c4,checkButton,This procurement is for a COTS item.,○ Contract has provisions for conducting quality system evaluation of the provider post-award in accordance with 2.3 and 2.6 of NPR 8735.2○ Acceptance inspection requirements have been included in the,LaRC
PSMSigS5,LaRC6,LaRC6c5,checkButton,This procurement is for a Research and Development (R & D) Acquisition.,"○ For R & D contracts that meet the definition of ""critical item"", the procurement has provisions to allow quality system evaluation of the provider in accordance with 2.5.2 and 2.6.3 of NPR 8735.2 po",LaRC
PSMSigS5,GRC4,G1n1,checkButton,"items=['1', '0', '2']",V. GRC HIGHER LEVEL QUALITY ASSURANCE REQUIREMENTS (CRITICAL AND/OR COMPLEX REQUIREMENTS),GRC
PSMSigS5,GRC4,G1n2,checkButton,"items=['1', '0', '2']","Critical work is work that if done incorrectly could cause serious injury, loss of life, or loss of a payload, mission, or mission resource > $2M. Complex work involves either: a) the design, manufact",GRC
PSMSigS5,GRC4,G1n3,checkButton,"items=['1', '0', '2']","This procurement is for Commercial-Off-The-Shelf (COTS) items, other commercial items, commercial services, construction services, or contractor support services where such services do not directly af",GRC
PSMSigS5,GRC4,G1n4,checkButton,"items=['1', '0', '2']","This procurement is for items such as raw materials (e.g., metal plate, bar stock) supplies (e.g., fasteners or electrical, electronic, and electromechanical (EEE) parts), and/or fabricated items (e.g",GRC
PSMSigS5,GRC4,PQARep,textEdit,(Insert PQA Representative's Name),"This procurement includes work that is critical* and/or complex*, or it includes aeronautics or space-flight hardware manufacturing, development, or testing activities. Therefore, this procurement is",GRC
Section7,Section7,S7In1,checkButton,"items=['1', '0', '2']",I. SAFETY AND HEALTH REQUIREMENTS,
Section7,HnS,HnSTxt,textEdit,Health & Safety Signature,,
Section7,HnS,HnSSig,signature,Health & Safety Signature,,
Section7,HnS,S7In2,checkButton,"items=['1', '0', '2']",OR Select what applies:,
Section7,HnS,S7In2s1,checkButton,"items=['1', '0', '2']","This procurement will result in the acquisition, production, or use of any hazardous or potentially hazardous substances or articles, examples of which are listed in NPR 1800.1, or items that requires",
Section7,HnS,S7In2s2,checkButton,"items=['1', '0', '2']","Ionizing Radiation Sources and Devices,",
Section7,HnS,S7In2s3,checkButton,"items=['1', '0', '2']","Lasers and Sources of Hazardous Non-Laser Optical Radiation,",
Section7,HnS,S7In2s4,checkButton,"items=['1', '0', '2']","High Intensity, Ultraviolet, and Infrared Lights,",
Section7,HnS,S7In2s5,checkButton,"items=['1', '0', '2']","Radio Frequency (RF) and Microwave Emitters,",
Section7,HnS,S7In2s6,checkButton,"items=['1', '0', '2']","Devices That Produce Hazardous Noise (Equal to or Above 80 DBA at 1 Meter or Less),",
Section7,HnS,S7In2s7,checkButton,"items=['1', '0', '2']","Pyrotechnic Devices and Explosives,",
Section7,HnS,S7In2s8,checkButton,"items=['1', '0', '2']","Pressurized Vessels,",
Section7,HnS,S7In2s9,checkButton,"items=['1', '0', '2']","Toxic or Hazardous Substances, Materials or Chemicals,",
Section7,HnS,S7In2s10,checkButton,"items=['1', '0', '2']","Nano and Ultrafine Particles,",
Section7,HnS,S7In2s11,checkButton,"items=['1', '0', '2']","Any Infectious or Biological Agents,",
Section7,HnS,S7In3,checkButton,"items=['1', '0', '2']",Or other articles or substances listed in the Appendix D,
Section7,HnS,S7In4,checkButton,"items=['1', '0', '2']","This procurement will result in the acquisition (purchase, lease, or rent) of equipment or services that requires the Center Safety and Mission Assurance (SMA) Organization review and approval per Cen",
Section7,KSCException1,InputNone,textEdit,,,KSC
Section7,Toxic,Org1,checkButton,NE/UB,,
Section7,Toxic,Org2,checkButton,SI-C3,,
Section7,Toxic,Org3,checkButton,All Other Organizations,,
Section7,Nano,Org1,checkButton,NE/UB,,
Section7,Nano,Org3,checkButton,All Other Organizations,,
Section7,Infectious,Org1,checkButton,NE/UB,,
Section7,HealthApprove,HealthApproval,textEdit,KSC-DL-1707-Radiation@mail.nasa.gov Approval,,
Section7,HealthApprove,HealthApprovalSig,signature,KSC-DL-1707-Radiation@mail.nasa.gov Approval,,
Section7,SafetyApprove,SafetyApproval,textEdit,KSC-DL-1707-ESO@mail.nasa.gov Approval,,
Section7,SafetyApprove,SafetyApprovalSig,signature,KSC-DL-1707-ESO@mail.nasa.gov Approval,,
Section7,BSOApprove,BSOApproval,textEdit,KSC-DL-1707-BSO@mail.nasa.gov Approval,,
Section7,BSOApprove,BSOApprovalSig,signature,KSC-DL-1707-BSO@mail.nasa.gov Approval,,
Section7,Safety2Approve,Safety2Approval,textEdit,KSC-DL-1707-Safety@mail.nasa.gov Approval,,
Section7,Safety2Approve,Safety2ApprovalSig,signature,KSC-DL-1707-Safety@mail.nasa.gov Approval,,
Section7,SHRBApprove,SHRBApproval,textEdit,KSC-DL-1707-SHRB@mail.nasa.gov Approval,,
Section7,SHRBApprove,SHRBApprovalSig,signature,KSC-DL-1707-SHRB@mail.nasa.gov Approval,,
Section7,GRC5,GRC5c1,checkButton,"items=['1', '0', '2']",Guidance at the PSO SharePoint has been reviewed,GRC
Section7,GRC5,GRC5c2,checkButton,"items=['1', '0', '2']",For ground-based systems:,GRC
Section7,GRC5,GRC5c3,checkButton,"items=['1', '0', '2']","PV, PVS and/or PVS components are in compliance with the NPR 8715.1 and NASA STD 8719.17",GRC
Section7,GRC5,GRC5c4,checkButton,"items=['1', '0', '2']",For flight systems:,GRC
Section8,Section8,S8IIn1,checkButton,"items=['1', '0', '2']",SECTION 8 - PROPERTY MANAGEMENT,
Section8,Section8,S8IIn2,checkButton,"items=['1', '0', '2']","This procurement will not involve the purchase or fabrication of property with unit value $1,000,000 or greater, to which the government will take title.",
Section8,Section8,S8In1,checkButton,"items=['1', '0', '2']",II. CAPITAL EQUIPMENT,
Section8,Section8,S8In2,checkButton,"items=['1', '0', '2']",Primary source of supply/acquisition/reutilization efforts have been exhausted in accordance with NPR 4200.1 and NPR 4300.1.,
Section9,GRC6,S8n2,checkButton,"items=['1', '0', '2']",,GRC
Section9s1,Section9s1,S9n1,checkButton,"items=['1', '0', '2']",,
Section9s1,Section9s1,S9n2,checkButton,"items=['1', '0', '2']",There are no items requiring special approval.,
Section9s1,Section9s1,S9n3,checkButton,"items=['1', '0', '2']",Approvals for special items have been obtained through the established SAP release strategy.,
Section10,Section10,S10n1,checkButton,"items=['1', '0', '2']","Ref. NPR 1660.1, NASA Counterintelligence and Counterterrorism",
Section10,Section10,S10n2,checkButton,"items=['1', '0', '2']","This procurement does not require NASA contractor employees to go on official travel to Designated Countries, Russia and other high-threat locations. (For additional information see the NASA Counterin",
Section11,Section11,S11n1,checkButton,"items=['1', '0', '2']","Ref. MSC-2011-12-001, Eliminating Extraneous Promotional & Personal Use Items",
Section12,Section12,S12n1,checkButton,"items=['1', '0', '2']",SECTION 12 - OTHER CURRENT NASA DIRECTIVES,
Section12,Section12,S12n2,checkButton,"items=['1', '0', '2']","A review of the NASA Online Directives Information System (NODIS) of current NASA Directives (NPR, NPD, and NID) not already indicated in the above Sections of this form has been performed. There are",
Section12,LaRC8,LaRC8c1,checkButton,"items=['1', '0', '2']",LaRC SECTION 13 - NASA AVIATION SAFETY PROGRAM,LaRC
Section12,LaRC8,LaRC8c2,checkButton,"items=['1', '0', '2']","This procurement includes the acquisition of aircraft, UAS (Unmanned Aircraft Systems), or commercial aviation services defined in NPR 7900.3 AND coordination with the Center Chief of the Fight Operat",LaRC
Section12,LaRC8,LaRC8c3,checkButton,"items=['1', '0', '2']","This procurement does not include aircraft maintenance services performed external to NASA facilities, OR aircraft inspection services, OR acquisition of aircraft/UAS, OR commercial aviation services.",LaRC
Section12,LaRC9,LaRC9c1,checkButton,"items=['1', '0', '2']",LaRC SECTION 14 - PRECIOUS METALS,LaRC
Section12,LaRC10,LaRC10c1,checkButton,"items=['1', '0', '2']",LaRC SECTION 15 - FACILITY WORK PERMIT,LaRC
Section12,LaRC10,LaRC10c2,checkButton,"items=['1', '0', '2']",This procurement is for services that meets the requirement for a facility work permit as defined in LMS-CP-8835 through the LaRC Facilities Work Notification Request System. Attached is the completed,LaRC
Section12,GRC7,GRC7c1,checkButton,"items=['1', '0', '2']",GRC SECTION 13 - SOFTWARE ENGINEERING,GRC
Section12,GRC7,GRC7c2,checkButton,"items=['1', '0', '2']","This procurement is not subject to software engineering requirements as specified in NPR 7150.2. See NPR 7150.2, NASA Software Engineering Requirements, Section P.2 for applicability of this NPR to th",GRC
Section12,GRC7,TaskOrderInput1,textEdit,(Insert PQA Rep.'s name),This procurement is subject to software engineering requirements as specified in NPR 7150.2.GRC SMAD Representative has been made aware of this procurement and the program/project/activity forwhich it,GRC
Section12,GRC8,GRC8c1,checkButton,"items=['1', '0', '2']",,GRC
Section12,GRC8,GRC8c2,checkButton,"items=['1', '0', '2']",This procurement will not involve the provision of Government property to the contractor and/or the acquisition of Government property by the contractor.,GRC
Section12,GRC9,GRC9c1,checkButton,"items=['1', '0', '2']",,GRC
Section12,GRC9,GRC9c2,checkButton,"items=['1', '0', '2']",This procurement will not require the contractor to have routine access to GRC (Lewis Field and/or Plum Brook Station).,GRC
Section12,GRC9,ApproverResponse,choiceList,Approver Response,GRC SECTION 15 - PHYSICAL SECURITY,GRC
Section12,GRC9,Approvals,textEdit,Approval Log,GRC SECTION 15 - PHYSICAL SECURITY,GRC
Section12,GRC9,Comments,textEdit,Approver Comment,GRC SECTION 15 - PHYSICAL SECURITY,GRC
Section12,ServerValues,ServerName,textEdit,Server Name,,
Section12,ServerValues,ServerURL,textEdit,Server URL,,
